,EquipmentName,Plant,Line,Tool,Device,Timestamp,MaxValue,MinValue
0,DMT21A-INTERLAYER_PAIRING,DMT2,1A,INTERLAYER_PAIRING,IL GANTRY BOT X,2021-12-27 06:00:00,59.1254768371582,61.47465896606445
1,DMT21A-INTERLAYER_PAIRING,DMT2,1A,INTERLAYER_PAIRING,IL GANTRY BOT X,2021-12-27 07:00:00,59.24538040161133,61.59701919555664
2,DMT21A-INTERLAYER_PAIRING,DMT2,1A,INTERLAYER_PAIRING,IL GANTRY BOT X,2021-12-27 08:00:00,58.72602462768555,61.509151458740234
3,DMT21A-INTERLAYER_PAIRING,DMT2,1A,INTERLAYER_PAIRING,IL GANTRY BOT X,2021-12-27 09:00:00,58.95111846923828,61.53347396850586
4,DMT21A-INTERLAYER_PAIRING,DMT2,1A,INTERLAYER_PAIRING,IL GANTRY BOT X,2021-12-27 10:00:00,59.53064727783203,61.556182861328125
5,DMT21A-INTERLAYER_PAIRING,DMT2,1A,INTERLAYER_PAIRING,IL GANTRY BOT X,2021-12-27 11:00:00,58.94626998901367,61.76252746582031
6,DMT21A-INTERLAYER_PAIRING,DMT2,1A,INTERLAYER_PAIRING,IL GANTRY BOT X,2021-12-27 12:00:00,59.03883361816406,61.328765869140625
7,DMT21A-INTERLAYER_PAIRING,DMT2,1A,INTERLAYER_PAIRING,IL GANTRY BOT X,2021-12-27 13:00:00,58.791847229003906,61.64132499694824
8,DMT21A-INTERLAYER_PAIRING,DMT2,1A,INTERLAYER_PAIRING,IL GANTRY BOT X,2021-12-27 14:00:00,60.202749252319336,61.33852767944336
9,DMT21A-INTERLAYER_PAIRING,DMT2,1A,INTERLAYER_PAIRING,IL GANTRY BOT X,2021-12-27 15:00:00,59.69683837890625,61.47089385986328
10,DMT21A-INTERLAYER_PAIRING,DMT2,1A,INTERLAYER_PAIRING,IL GANTRY BOT X,2021-12-27 16:00:00,59.0280876159668,61.42350387573242
